,existingchecking,duration,credithistory,purpose,creditamount,savings,employmentsince,installmentrate,statussex,otherdebtors,residencesince,property,age,otherinstallmentplans,housing,existingcredits,job,peopleliable,telephone,foreignworker,classification,maritalStatus,sex
183,0,24,4,furniture/equipment,3777,above1000,betw1a4yrs,4,A93,none,4,realEstate,50,none,own,1,skilled/official,1,yes,1,1,0,M
184,2,18,4,car,884,below100,morethan7yrs,4,A93,none,4,carOrOthers,36,bank,own,1,skilled/official,2,yes,1,2,0,M
185,0,15,4,radio/television,1360,below100,betw1a4yrs,4,A93,none,2,buildingSociety/lifeInsurance,31,none,own,2,skilled/official,1,none,1,1,0,M
186,2,9,1,car,5129,below100,morethan7yrs,2,A92,none,4,unknown/noProperty,74,bank,forFree,1,management/self-employed/highlyqualemployee/officer,2,yes,1,2,1,F
187,2,16,4,car,1175,below100,unemployed,2,A93,none,3,carOrOthers,68,none,forFree,3,unemployed/unskilled/non-resident,1,yes,1,1,0,M
188,1,12,2,radio/television,674,betw100a500,betw4a7yrs,4,A94,none,1,buildingSociety/lifeInsurance,20,none,own,1,skilled/official,1,none,1,2,1,M
189,2,18,0,furniture/equipment,3244,below100,betw1a4yrs,1,A92,none,4,carOrOthers,33,bank,own,2,skilled/official,1,yes,1,1,1,F
190,0,24,2,business,4591,above1000,betw1a4yrs,2,A93,none,3,buildingSociety/lifeInsurance,54,none,own,3,management/self-employed/highlyqualemployee/officer,1,yes,1,2,0,M
191,2,48,0,business,3844,betw100a500,betw4a7yrs,4,A93,none,4,unknown/noProperty,34,none,forFree,1,unskilled/resident,2,none,1,2,0,M
192,2,27,2,business,3915,below100,betw1a4yrs,4,A93,none,2,carOrOthers,36,none,own,1,skilled/official,2,yes,1,2,0,M
193,0,6,2,radio/television,2108,below100,betw4a7yrs,2,A94,none,2,realEstate,29,none,rent,1,skilled/official,1,none,1,1,1,M
194,2,45,2,radio/television,3031,betw100a500,betw1a4yrs,4,A93,guarantor,4,buildingSociety/lifeInsurance,21,none,rent,1,skilled/official,1,none,1,2,0,M
195,2,9,4,education,1501,below100,morethan7yrs,2,A92,none,3,carOrOthers,34,none,own,2,management/self-employed/highlyqualemployee/officer,1,yes,1,2,1,F
196,0,6,4,radio/television,1382,below100,betw1a4yrs,1,A92,none,1,carOrOthers,28,none,own,2,skilled/official,1,yes,1,1,1,F
197,2,12,2,furniture/equipment,951,betw100a500,lessth1yr,4,A92,none,4,carOrOthers,27,bank,rent,4,skilled/official,1,none,1,2,1,F
198,2,24,2,car,2760,unknown/nosavings,morethan7yrs,4,A93,none,4,unknown/noProperty,36,bank,forFree,1,skilled/official,1,yes,1,1,0,M
199,2,18,3,furniture/equipment,4297,below100,morethan7yrs,4,A91,none,3,unknown/noProperty,40,none,own,1,management/self-employed/highlyqualemployee/officer,1,yes,1,2,1,M
200,0,9,4,education,936,betw500a1000,morethan7yrs,4,A93,none,2,carOrOthers,52,none,own,2,skilled/official,1,yes,1,1,0,M
201,1,12,2,car,1168,below100,betw1a4yrs,4,A94,none,3,realEstate,27,none,own,1,unskilled/resident,1,none,1,1,1,M
202,0,27,3,business,5117,below100,betw4a7yrs,3,A93,none,4,carOrOthers,26,none,own,2,skilled/official,1,none,1,1,0,M
203,1,12,2,retraining,902,below100,betw4a7yrs,4,A94,none,4,buildingSociety/lifeInsurance,21,none,rent,1,skilled/official,1,none,1,2,1,M
204,0,12,4,car,1495,below100,morethan7yrs,4,A93,none,1,realEstate,38,none,own,2,unskilled/resident,2,none,1,1,0,M
205,1,30,4,car,10623,below100,morethan7yrs,3,A93,none,4,unknown/noProperty,38,none,forFree,3,management/self-employed/highlyqualemployee/officer,2,yes,1,1,0,M
206,0,12,4,furniture/equipment,1935,below100,morethan7yrs,4,A93,none,4,realEstate,43,none,own,3,skilled/official,1,yes,1,1,0,M
207,2,12,4,domesticAppliances,1424,below100,betw4a7yrs,4,A93,none,3,buildingSociety/lifeInsurance,26,none,own,1,skilled/official,1,none,1,1,0,M
208,1,24,2,business,6568,below100,betw1a4yrs,2,A94,none,2,carOrOthers,21,stores,own,1,unskilled/resident,1,none,1,1,1,M
209,0,12,2,car,1413,above1000,betw4a7yrs,3,A93,none,2,buildingSociety/lifeInsurance,55,none,own,1,skilled/official,1,none,0,1,0,M
210,0,9,4,radio/television,3074,unknown/nosavings,betw1a4yrs,1,A93,none,2,realEstate,33,none,own,2,skilled/official,2,none,1,1,0,M
211,0,36,2,radio/television,3835,unknown/nosavings,morethan7yrs,2,A92,none,4,realEstate,45,none,own,1,unskilled/resident,1,yes,1,1,1,F
212,1,27,0,business,5293,below100,unemployed,2,A93,none,4,buildingSociety/lifeInsurance,50,stores,own,2,skilled/official,1,yes,1,2,0,M
213,3,30,3,business,1908,below100,morethan7yrs,4,A93,none,4,realEstate,66,none,own,1,management/self-employed/highlyqualemployee/officer,1,yes,1,2,0,M
214,0,36,4,radio/television,3342,unknown/nosavings,morethan7yrs,4,A93,none,2,carOrOthers,51,none,own,1,skilled/official,1,yes,1,1,0,M
215,2,6,4,retraining,932,unknown/nosavings,betw4a7yrs,1,A92,none,3,buildingSociety/lifeInsurance,39,none,own,2,unskilled/resident,1,none,1,1,1,F
216,1,18,0,business,3104,below100,betw4a7yrs,3,A93,none,1,buildingSociety/lifeInsurance,31,bank,own,1,skilled/official,1,yes,1,1,0,M
217,3,36,2,radio/television,3913,below100,betw1a4yrs,2,A93,none,2,realEstate,23,none,own,1,skilled/official,1,yes,1,1,0,M
218,1,24,2,furniture/equipment,3021,below100,betw1a4yrs,2,A91,none,2,realEstate,24,none,rent,1,unskilled/resident,1,none,1,1,1,M
219,0,10,2,car,1364,below100,betw1a4yrs,2,A92,none,4,carOrOthers,64,none,own,1,skilled/official,1,yes,1,1,1,F
220,2,12,2,radio/television,625,below100,lessth1yr,4,A94,guarantor,1,realEstate,26,bank,own,1,unskilled/resident,1,none,1,1,1,M
221,1,12,2,education,1200,unknown/nosavings,betw1a4yrs,4,A92,none,4,buildingSociety/lifeInsurance,23,bank,rent,1,skilled/official,1,yes,1,1,1,F
222,0,12,2,radio/television,707,below100,betw1a4yrs,4,A93,none,2,realEstate,30,bank,own,2,skilled/official,1,none,1,1,0,M
223,0,24,3,business,2978,unknown/nosavings,betw1a4yrs,4,A93,none,4,realEstate,32,none,own,2,skilled/official,2,yes,1,1,0,M
224,0,15,2,car,4657,below100,betw1a4yrs,3,A93,none,2,carOrOthers,30,none,own,1,skilled/official,1,yes,1,1,0,M
225,0,36,0,repairs,2613,below100,betw1a4yrs,4,A93,none,2,carOrOthers,27,none,own,2,skilled/official,1,none,1,1,0,M
226,2,48,2,radio/television,10961,above1000,betw4a7yrs,1,A93,co-applicant,2,unknown/noProperty,27,bank,own,2,skilled/official,1,yes,1,2,0,M
227,1,12,2,furniture/equipment,7865,below100,morethan7yrs,4,A93,none,4,unknown/noProperty,53,none,forFree,1,management/self-employed/highlyqualemployee/officer,1,yes,1,2,0,M
228,0,9,2,radio/television,1478,below100,betw4a7yrs,4,A93,none,2,carOrOthers,22,none,own,1,skilled/official,1,none,1,2,0,M
229,1,24,2,furniture/equipment,3149,below100,lessth1yr,4,A93,none,1,unknown/noProperty,22,bank,forFree,1,skilled/official,1,none,1,1,0,M
230,3,36,2,radio/television,4210,below100,betw1a4yrs,4,A93,none,2,carOrOthers,26,none,own,1,skilled/official,1,none,1,2,0,M
231,0,9,2,car,2507,betw500a1000,morethan7yrs,2,A93,none,4,unknown/noProperty,51,none,forFree,1,unskilled/resident,1,none,1,1,0,M
232,0,12,2,radio/television,2141,betw100a500,betw4a7yrs,3,A93,none,1,unknown/noProperty,35,none,own,1,skilled/official,1,none,1,1,0,M
233,2,18,2,radio/television,866,below100,betw1a4yrs,4,A94,guarantor,2,realEstate,25,none,own,1,unskilled/resident,1,none,1,1,1,M
234,0,4,4,radio/television,1544,below100,betw4a7yrs,2,A93,none,1,realEstate,42,none,own,3,unskilled/resident,2,none,1,1,0,M
235,1,24,2,radio/television,1823,below100,unemployed,4,A93,none,2,carOrOthers,30,stores,own,1,management/self-employed/highlyqualemployee/officer,2,none,1,2,0,M
236,2,6,2,car,14555,unknown/nosavings,unemployed,1,A93,none,2,buildingSociety/lifeInsurance,23,none,own,1,unemployed/unskilled/non-resident,1,yes,1,2,0,M
237,2,21,2,business,2767,betw100a500,morethan7yrs,4,A91,none,2,carOrOthers,61,bank,rent,2,unskilled/resident,1,none,1,2,1,M
238,0,12,4,radio/television,1291,below100,betw1a4yrs,4,A92,none,2,buildingSociety/lifeInsurance,35,none,own,2,skilled/official,1,none,1,1,1,F
239,1,30,2,radio/television,2522,below100,morethan7yrs,1,A93,guarantor,3,buildingSociety/lifeInsurance,39,none,own,1,skilled/official,2,none,1,1,0,M
240,1,24,2,car,915,unknown/nosavings,morethan7yrs,4,A92,none,2,carOrOthers,29,bank,own,1,skilled/official,1,none,1,2,1,F
241,0,6,2,radio/television,1595,below100,betw4a7yrs,3,A93,none,2,buildingSociety/lifeInsurance,51,none,own,1,skilled/official,2,none,1,1,0,M
242,1,48,0,car,4605,below100,morethan7yrs,3,A93,none,4,unknown/noProperty,24,none,forFree,2,skilled/official,2,none,1,2,0,M
243,0,12,4,business,1185,below100,betw1a4yrs,3,A92,none,2,realEstate,27,none,own,2,skilled/official,1,none,1,1,1,F
244,0,12,1,retraining,3447,betw500a1000,betw1a4yrs,4,A92,none,3,realEstate,35,none,own,1,unskilled/resident,2,none,1,1,1,F
245,0,24,2,business,1258,below100,betw4a7yrs,4,A93,none,1,realEstate,25,none,own,1,skilled/official,1,yes,1,1,0,M
246,0,12,4,radio/television,717,below100,morethan7yrs,4,A93,none,4,realEstate,52,none,own,3,skilled/official,1,none,1,1,0,M
247,0,6,0,car,1204,betw100a500,betw1a4yrs,4,A93,none,1,unknown/noProperty,35,bank,rent,1,skilled/official,1,none,0,1,0,M
248,3,24,2,furniture/equipment,1925,below100,betw1a4yrs,2,A93,none,2,realEstate,26,none,own,1,skilled/official,1,none,1,1,0,M
249,0,18,2,radio/television,433,below100,unemployed,3,A92,co-applicant,4,realEstate,22,none,rent,1,skilled/official,1,none,1,2,1,F
250,1,6,4,car,666,above1000,betw4a7yrs,3,A92,none,4,realEstate,39,none,own,2,unskilled/resident,1,yes,1,1,1,F
251,3,12,2,furniture/equipment,2251,below100,betw1a4yrs,1,A92,none,2,carOrOthers,46,none,own,1,unskilled/resident,1,none,1,1,1,F
252,2,30,2,car,2150,below100,betw1a4yrs,4,A92,guarantor,2,unknown/noProperty,24,bank,own,1,skilled/official,1,none,1,2,1,F
253,0,24,3,furniture/equipment,4151,betw100a500,betw1a4yrs,2,A93,none,3,buildingSociety/lifeInsurance,35,none,own,2,skilled/official,1,none,1,1,0,M
254,2,9,2,furniture/equipment,2030,unknown/nosavings,betw4a7yrs,2,A93,none,1,carOrOthers,24,none,own,1,skilled/official,1,yes,1,1,0,M
255,2,60,3,radio/television,7418,unknown/nosavings,betw1a4yrs,1,A93,none,1,realEstate,27,none,own,1,unskilled/resident,1,none,1,1,0,M
256,0,24,4,radio/television,2684,below100,betw1a4yrs,4,A93,none,2,realEstate,35,none,own,2,unskilled/resident,1,none,1,1,0,M
257,1,12,1,radio/television,2149,below100,betw1a4yrs,4,A91,none,1,unknown/noProperty,29,none,forFree,1,skilled/official,1,none,1,2,1,M
258,0,15,2,car,3812,betw100a500,lessth1yr,1,A92,none,4,carOrOthers,23,none,own,1,skilled/official,1,yes,1,1,1,F
259,0,11,4,radio/television,1154,betw100a500,unemployed,4,A92,none,4,realEstate,57,none,own,3,unskilled/resident,1,none,1,1,1,F
260,1,12,2,furniture/equipment,1657,below100,betw1a4yrs,2,A93,none,2,realEstate,27,none,own,1,skilled/official,1,none,1,1,0,M
261,1,24,2,radio/television,1603,below100,morethan7yrs,4,A92,none,4,carOrOthers,55,none,own,1,skilled/official,1,none,1,1,1,F
262,1,18,4,car,5302,below100,morethan7yrs,2,A93,none,4,unknown/noProperty,36,none,forFree,3,management/self-employed/highlyqualemployee/officer,1,yes,1,1,0,M
263,0,12,4,education,2748,below100,morethan7yrs,2,A92,none,4,unknown/noProperty,57,bank,forFree,3,unskilled/resident,1,none,1,1,1,F
264,0,10,4,car,1231,below100,morethan7yrs,3,A93,none,4,realEstate,32,none,own,2,unskilled/resident,2,none,0,1,0,M
265,2,15,2,radio/television,802,below100,morethan7yrs,4,A93,none,3,carOrOthers,37,none,own,1,skilled/official,2,none,1,2,0,M
266,0,36,4,business,6304,unknown/nosavings,morethan7yrs,4,A93,none,4,realEstate,36,none,own,2,skilled/official,1,none,1,1,0,M
267,0,24,2,radio/television,1533,below100,lessth1yr,4,A92,none,3,carOrOthers,38,stores,own,1,skilled/official,1,yes,1,1,1,F
268,1,14,2,car,8978,below100,morethan7yrs,1,A91,none,4,buildingSociety/lifeInsurance,45,none,own,1,management/self-employed/highlyqualemployee/officer,1,yes,0,2,1,M
269,0,24,2,radio/television,999,unknown/nosavings,morethan7yrs,4,A93,none,2,carOrOthers,25,none,own,2,skilled/official,1,none,1,1,0,M
270,0,18,2,car,2662,unknown/nosavings,betw4a7yrs,4,A93,none,3,buildingSociety/lifeInsurance,32,none,own,1,skilled/official,1,none,0,1,0,M
271,0,12,4,furniture/equipment,1402,betw500a1000,betw4a7yrs,3,A92,none,4,carOrOthers,37,none,rent,1,skilled/official,1,yes,1,1,1,F
272,2,48,1,car,12169,unknown/nosavings,unemployed,4,A93,co-applicant,4,unknown/noProperty,36,none,forFree,1,management/self-employed/highlyqualemployee/officer,1,yes,1,1,0,M
273,2,48,2,radio/television,3060,below100,betw4a7yrs,4,A93,none,4,realEstate,28,none,own,2,skilled/official,1,none,1,2,0,M
274,1,30,2,repairs,11998,below100,lessth1yr,1,A91,none,1,unknown/noProperty,34,none,own,1,unskilled/resident,1,yes,1,2,1,M
275,0,9,2,radio/television,2697,below100,betw1a4yrs,1,A93,none,2,realEstate,32,none,own,1,skilled/official,2,none,1,1,0,M
276,0,18,4,radio/television,2404,below100,betw1a4yrs,2,A92,none,2,carOrOthers,26,none,own,2,skilled/official,1,none,1,1,1,F
277,1,12,2,furniture/equipment,1262,unknown/nosavings,morethan7yrs,2,A91,none,4,buildingSociety/lifeInsurance,49,none,own,1,unskilled/resident,1,yes,1,1,1,M
278,0,6,2,furniture/equipment,4611,below100,lessth1yr,1,A92,none,4,buildingSociety/lifeInsurance,32,none,own,1,skilled/official,1,none,1,2,1,F
279,0,24,2,radio/television,1901,betw100a500,betw1a4yrs,4,A93,none,4,carOrOthers,29,none,rent,1,management/self-employed/highlyqualemployee/officer,1,yes,1,1,0,M
280,0,15,4,car,3368,above1000,morethan7yrs,3,A93,none,4,unknown/noProperty,23,none,rent,2,skilled/official,1,yes,1,1,0,M
281,0,12,2,furniture/equipment,1574,below100,betw1a4yrs,4,A93,none,2,realEstate,50,none,own,1,skilled/official,1,none,1,1,0,M
282,3,18,1,radio/television,1445,unknown/nosavings,betw4a7yrs,4,A93,none,4,carOrOthers,49,bank,own,1,unskilled/resident,1,none,1,1,0,M
283,0,15,4,furniture/equipment,1520,unknown/nosavings,morethan7yrs,4,A93,none,4,buildingSociety/lifeInsurance,63,none,own,1,skilled/official,1,none,1,1,0,M
284,2,24,4,car,3878,betw100a500,lessth1yr,4,A91,none,2,carOrOthers,37,none,own,1,skilled/official,1,yes,1,1,1,M
285,1,47,2,car,10722,below100,lessth1yr,1,A92,none,1,realEstate,35,none,own,1,unskilled/resident,1,yes,1,1,1,F
286,1,48,2,car,4788,below100,betw4a7yrs,4,A93,none,3,buildingSociety/lifeInsurance,26,none,own,1,skilled/official,2,none,1,1,0,M
287,2,48,3,others,7582,betw100a500,unemployed,2,A93,none,4,unknown/noProperty,31,none,forFree,1,management/self-employed/highlyqualemployee/officer,1,yes,1,1,0,M
288,2,12,2,radio/television,1092,below100,betw1a4yrs,4,A92,guarantor,4,realEstate,49,none,own,2,skilled/official,1,yes,1,1,1,F
289,1,24,3,radio/television,1024,below100,lessth1yr,4,A94,none,4,realEstate,48,stores,own,1,skilled/official,1,none,1,2,1,M
290,0,12,2,business,1076,below100,betw1a4yrs,2,A94,none,2,realEstate,26,none,own,1,skilled/official,1,yes,0,1,1,M
291,2,36,2,car,9398,below100,lessth1yr,1,A94,none,4,carOrOthers,28,none,rent,1,management/self-employed/highlyqualemployee/officer,1,yes,1,2,1,M
292,1,24,4,car,6419,below100,morethan7yrs,2,A92,none,4,unknown/noProperty,44,none,forFree,2,management/self-employed/highlyqualemployee/officer,2,yes,1,1,1,F
293,3,42,4,car,4796,below100,morethan7yrs,4,A93,none,4,unknown/noProperty,56,none,forFree,1,skilled/official,1,none,1,1,0,M
294,0,48,4,business,7629,unknown/nosavings,morethan7yrs,4,A91,none,2,carOrOthers,46,bank,own,2,management/self-employed/highlyqualemployee/officer,2,none,1,1,1,M
295,2,48,2,furniture/equipment,9960,below100,lessth1yr,1,A92,none,2,carOrOthers,26,none,own,1,skilled/official,1,yes,1,2,1,F
296,0,12,2,car,4675,unknown/nosavings,lessth1yr,1,A92,none,4,carOrOthers,20,none,rent,1,skilled/official,1,none,1,1,1,F
297,0,10,2,car,1287,unknown/nosavings,morethan7yrs,4,A93,co-applicant,2,buildingSociety/lifeInsurance,45,none,own,1,unskilled/resident,1,none,0,1,0,M
298,0,18,2,furniture/equipment,2515,below100,betw1a4yrs,3,A93,none,4,realEstate,43,none,own,1,skilled/official,1,yes,1,1,0,M
299,2,21,4,furniture/equipment,2745,above1000,betw4a7yrs,3,A93,none,2,carOrOthers,32,none,own,2,skilled/official,1,yes,1,1,0,M
300,0,6,2,car,672,below100,unemployed,1,A92,none,4,realEstate,54,none,own,1,unemployed/unskilled/non-resident,1,yes,1,1,1,F
301,2,36,0,radio/television,3804,below100,betw1a4yrs,4,A92,none,1,carOrOthers,42,none,own,1,skilled/official,1,yes,1,2,1,F
302,3,24,4,car,1344,unknown/nosavings,betw4a7yrs,4,A93,none,2,realEstate,37,bank,own,2,unskilled/resident,2,none,1,2,0,M
303,1,10,4,car,1038,below100,betw4a7yrs,4,A93,co-applicant,3,buildingSociety/lifeInsurance,49,none,own,2,skilled/official,1,yes,1,1,0,M
304,0,48,4,car,10127,betw500a1000,betw1a4yrs,2,A93,none,2,unknown/noProperty,44,bank,forFree,1,skilled/official,1,none,1,2,0,M
305,0,6,2,furniture/equipment,1543,above1000,betw1a4yrs,4,A91,none,2,realEstate,33,none,own,1,skilled/official,1,none,1,1,1,M
306,0,30,2,car,4811,unknown/nosavings,betw4a7yrs,2,A92,none,4,buildingSociety/lifeInsurance,24,stores,rent,1,unskilled/resident,1,none,1,1,1,F
307,1,12,2,radio/television,727,betw100a500,lessth1yr,4,A94,none,3,unknown/noProperty,33,none,own,1,unskilled/resident,1,yes,1,2,1,M
308,2,8,2,furniture/equipment,1237,below100,betw1a4yrs,3,A92,none,4,realEstate,24,none,own,1,skilled/official,1,none,1,2,1,F
309,2,9,2,car,276,below100,betw1a4yrs,4,A94,none,4,realEstate,22,none,rent,1,unskilled/resident,1,none,1,1,1,M
310,2,48,2,others,5381,unknown/nosavings,unemployed,3,A93,none,4,unknown/noProperty,40,bank,forFree,1,unemployed/unskilled/non-resident,1,yes,1,1,0,M
311,0,24,2,furniture/equipment,5511,betw100a500,betw1a4yrs,4,A93,none,1,carOrOthers,25,stores,own,1,skilled/official,1,none,1,1,0,M
312,3,24,2,furniture/equipment,3749,below100,lessth1yr,2,A92,none,4,carOrOthers,26,none,own,1,skilled/official,1,none,1,1,1,F
313,2,12,2,car,685,below100,betw4a7yrs,2,A94,none,3,carOrOthers,25,bank,own,1,unskilled/resident,1,none,1,2,1,M
314,3,4,2,car,1494,unknown/nosavings,lessth1yr,1,A93,none,2,realEstate,29,none,own,1,unskilled/resident,2,none,0,1,0,M
315,1,36,1,furniture/equipment,2746,below100,morethan7yrs,4,A93,none,4,carOrOthers,31,bank,own,1,skilled/official,1,none,1,2,0,M
316,1,12,2,furniture/equipment,708,below100,betw1a4yrs,2,A93,guarantor,3,buildingSociety/lifeInsurance,38,none,own,1,unskilled/resident,2,none,1,1,0,M
317,2,24,2,furniture/equipment,4351,unknown/nosavings,betw1a4yrs,1,A92,none,4,buildingSociety/lifeInsurance,48,none,own,1,unskilled/resident,1,yes,1,1,1,F
318,0,12,4,education,701,below100,betw1a4yrs,4,A93,none,2,carOrOthers,32,none,own,2,skilled/official,1,none,1,1,0,M
319,1,15,3,furniture/equipment,3643,below100,morethan7yrs,1,A92,none,4,buildingSociety/lifeInsurance,27,none,own,2,unskilled/resident,1,none,1,1,1,F
320,2,30,4,car,4249,below100,unemployed,4,A94,none,2,carOrOthers,28,none,own,2,management/self-employed/highlyqualemployee/officer,1,none,1,2,1,M
321,1,24,2,radio/television,1938,below100,lessth1yr,4,A91,none,3,buildingSociety/lifeInsurance,32,none,own,1,skilled/official,1,none,1,2,1,M
322,1,24,2,car,2910,below100,betw4a7yrs,2,A93,none,1,unknown/noProperty,34,none,forFree,1,management/self-employed/highlyqualemployee/officer,1,yes,1,1,0,M
323,1,18,2,furniture/equipment,2659,above1000,betw1a4yrs,4,A93,none,2,carOrOthers,28,none,own,1,skilled/official,1,none,1,1,0,M
324,0,18,4,car,1028,below100,betw1a4yrs,4,A92,none,3,realEstate,36,none,own,2,skilled/official,1,none,1,1,1,F
325,1,8,4,car,3398,below100,betw4a7yrs,1,A93,none,4,realEstate,39,none,own,2,unskilled/resident,1,none,0,1,0,M
326,0,12,4,furniture/equipment,5801,unknown/nosavings,morethan7yrs,2,A93,none,4,buildingSociety/lifeInsurance,49,none,rent,1,skilled/official,1,yes,1,1,0,M
327,0,24,2,car,1525,above1000,betw4a7yrs,4,A92,none,3,carOrOthers,34,none,own,1,skilled/official,2,yes,1,1,1,F
328,3,36,2,radio/television,4473,below100,morethan7yrs,4,A93,none,2,carOrOthers,31,none,own,1,skilled/official,1,none,1,1,0,M
329,2,6,2,radio/television,1068,below100,morethan7yrs,4,A93,none,4,carOrOthers,28,none,own,1,skilled/official,2,none,1,1,0,M
330,1,24,4,car,6615,below100,unemployed,2,A93,none,4,unknown/noProperty,75,none,forFree,2,management/self-employed/highlyqualemployee/officer,1,yes,1,1,0,M
331,0,18,4,education,1864,betw100a500,betw1a4yrs,4,A92,none,2,realEstate,30,none,own,2,skilled/official,1,none,1,2,1,F
332,2,60,2,car,7408,betw100a500,lessth1yr,4,A92,none,2,buildingSociety/lifeInsurance,24,none,own,1,management/self-employed/highlyqualemployee/officer,1,none,1,2,1,F
333,0,48,4,car,11590,betw100a500,betw1a4yrs,2,A92,none,4,carOrOthers,24,bank,rent,2,unskilled/resident,1,none,1,2,1,F
334,1,24,0,furniture/equipment,4110,below100,morethan7yrs,3,A93,none,4,unknown/noProperty,23,bank,rent,2,skilled/official,2,none,1,2,0,M
335,1,6,4,furniture/equipment,3384,below100,betw1a4yrs,1,A91,none,4,realEstate,44,none,rent,1,management/self-employed/highlyqualemployee/officer,1,yes,1,2,1,M
336,2,13,2,radio/television,2101,below100,lessth1yr,2,A92,guarantor,4,buildingSociety/lifeInsurance,23,none,own,1,unskilled/resident,1,none,1,1,1,F
337,1,15,2,domesticAppliances,1275,unknown/nosavings,betw1a4yrs,4,A92,none,2,carOrOthers,24,none,rent,1,skilled/official,1,none,1,2,1,F
338,1,24,2,furniture/equipment,4169,below100,betw1a4yrs,4,A93,none,4,buildingSociety/lifeInsurance,28,none,own,1,skilled/official,1,none,1,1,0,M
339,2,10,2,furniture/equipment,1521,below100,betw1a4yrs,4,A91,none,2,carOrOthers,31,none,own,1,unskilled/resident,1,none,1,1,1,M
340,2,24,4,education,5743,below100,lessth1yr,2,A92,none,4,unknown/noProperty,24,none,forFree,2,skilled/official,1,yes,1,1,1,F
341,1,21,2,furniture/equipment,3599,below100,betw4a7yrs,1,A92,none,4,carOrOthers,26,none,rent,1,unskilled/resident,1,none,1,1,1,F
342,2,18,2,radio/television,3213,betw500a1000,lessth1yr,1,A94,none,3,realEstate,25,none,rent,1,skilled/official,1,none,1,1,1,M
343,2,18,2,business,4439,below100,morethan7yrs,1,A93,co-applicant,1,realEstate,33,bank,own,1,management/self-employed/highlyqualemployee/officer,1,yes,1,1,0,M
344,3,10,2,car,3949,below100,lessth1yr,1,A93,guarantor,1,buildingSociety/lifeInsurance,37,none,own,1,unskilled/resident,2,none,1,1,0,M
345,0,15,4,radio/television,1459,below100,betw1a4yrs,4,A92,none,2,carOrOthers,43,none,own,1,unskilled/resident,1,none,1,1,1,F
346,2,13,4,radio/television,882,below100,lessth1yr,4,A93,guarantor,4,realEstate,23,none,own,2,skilled/official,1,none,1,1,0,M
347,2,24,2,radio/television,3758,betw500a1000,unemployed,1,A92,none,4,unknown/noProperty,23,none,rent,1,unemployed/unskilled/non-resident,1,none,1,1,1,F
348,0,6,3,business,1743,betw100a500,betw1a4yrs,1,A93,none,2,realEstate,34,none,own,2,unskilled/resident,1,none,1,1,0,M
349,2,9,4,education,1136,above1000,morethan7yrs,4,A93,none,3,unknown/noProperty,32,none,forFree,2,skilled/official,2,none,1,2,0,M
350,0,9,2,domesticAppliances,1236,below100,lessth1yr,1,A92,none,4,realEstate,23,none,rent,1,skilled/official,1,yes,1,1,1,F
351,2,9,2,furniture/equipment,959,below100,betw1a4yrs,1,A92,none,2,carOrOthers,29,none,own,1,skilled/official,1,none,0,2,1,F
352,0,18,4,car,3229,unknown/nosavings,unemployed,2,A93,none,4,unknown/noProperty,38,none,own,1,management/self-employed/highlyqualemployee/officer,1,yes,1,1,0,M
353,1,12,0,radio/television,6199,below100,betw1a4yrs,4,A93,none,2,buildingSociety/lifeInsurance,28,none,rent,2,skilled/official,1,yes,1,2,0,M
354,0,10,2,education,727,betw500a1000,morethan7yrs,4,A93,none,4,unknown/noProperty,46,none,forFree,1,skilled/official,1,yes,1,1,0,M
355,2,24,2,car,1246,below100,lessth1yr,4,A93,none,2,realEstate,23,stores,own,1,unskilled/resident,1,none,1,2,0,M
356,0,12,4,radio/television,2331,unknown/nosavings,morethan7yrs,1,A93,co-applicant,4,realEstate,49,none,own,1,skilled/official,1,yes,1,1,0,M
357,0,36,3,radio/television,4463,below100,betw1a4yrs,4,A93,none,2,carOrOthers,26,none,own,2,management/self-employed/highlyqualemployee/officer,1,yes,1,2,0,M
358,0,12,2,radio/television,776,below100,betw1a4yrs,4,A94,none,2,realEstate,28,none,own,1,skilled/official,1,none,1,1,1,M
359,1,30,2,furniture/equipment,2406,below100,betw4a7yrs,4,A92,none,4,realEstate,23,none,rent,1,skilled/official,1,none,1,2,1,F
360,2,18,2,education,1239,unknown/nosavings,betw1a4yrs,4,A93,none,4,unknown/noProperty,61,none,forFree,1,skilled/official,1,none,1,1,0,M
361,3,12,2,radio/television,3399,unknown/nosavings,morethan7yrs,2,A93,none,3,carOrOthers,37,none,own,1,management/self-employed/highlyqualemployee/officer,1,none,1,1,0,M
362,3,12,3,car,2247,below100,betw1a4yrs,2,A92,none,2,carOrOthers,36,stores,own,2,skilled/official,1,yes,1,1,1,F
363,0,6,2,furniture/equipment,1766,below100,betw1a4yrs,1,A94,none,2,buildingSociety/lifeInsurance,21,none,rent,1,skilled/official,1,none,1,1,1,M
364,1,18,2,furniture/equipment,2473,below100,unemployed,4,A93,none,1,carOrOthers,25,none,own,1,unemployed/unskilled/non-resident,1,none,1,2,0,M
365,0,12,2,business,1542,below100,betw4a7yrs,2,A93,none,4,carOrOthers,36,none,own,1,skilled/official,1,yes,1,1,0,M
366,0,18,4,car,3850,below100,betw4a7yrs,3,A93,none,1,carOrOthers,27,none,own,2,skilled/official,1,none,1,1,0,M
367,1,18,2,furniture/equipment,3650,below100,lessth1yr,1,A92,none,4,carOrOthers,22,none,rent,1,skilled/official,1,none,1,1,1,F
